                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.54095,                 0.5019,                 1.0535,                0.88911,                0.77038,                0.85751,                0.66283,                 0.8395,                0.71369,                 1.2869,             0.00024772,             0.00024772,             0.00024772
                     89,                0.51409,                0.50492,                 1.0184,                0.90737,                0.74956,                0.85083,                0.64875,                0.85476,                0.69756,                 1.2955,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.5216,                0.49089,                 1.0356,                 0.8809,                0.75788,                0.84724,                0.64139,                0.85091,                0.69599,                 1.2979,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.4989,                0.50541,                0.99602,                0.84907,                0.76761,                0.84222,                0.64257,                0.87504,                0.71194,                 1.2993,             0.00019821,             0.00019821,             0.00019821
                     92,                0.50532,                0.47115,                 0.9851,                 0.8502,                0.75187,                0.83174,                0.63924,                0.89141,                0.75586,                 1.3187,              0.0001817,              0.0001817,              0.0001817
                     93,                0.46638,                0.44877,                0.97082,                0.83841,                0.76484,                0.82623,                0.64018,                0.85432,                0.76392,                 1.2867,              0.0001652,              0.0001652,              0.0001652
                     94,                0.45611,                0.43821,                0.97081,                 0.8592,                  0.754,                0.82656,                0.63672,                0.85686,                0.76383,                 1.2971,              0.0001487,              0.0001487,              0.0001487
                     95,                0.47416,                0.43797,                0.97104,                0.86882,                0.75856,                0.83154,                 0.6398,                0.88289,                0.75325,                 1.3271,             0.00013219,             0.00013219,             0.00013219
                     96,                0.44733,                0.41649,                0.94952,                0.83891,                0.79869,                0.83851,                 0.6361,                0.87718,                0.73726,                 1.3396,             0.00011569,             0.00011569,             0.00011569
                     97,                0.44874,                0.42022,                0.96438,                0.84246,                0.80393,                0.83881,                0.64129,                0.86852,                0.72473,                 1.3278,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.44369,                0.42431,                0.96195,                  0.849,                0.79912,                0.84385,                0.65075,                0.85172,                0.70029,                 1.3183,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.42031,                0.40278,                0.95713,                0.84824,                0.79646,                0.84577,                0.65144,                0.83878,                0.70684,                 1.3114,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.42847,                0.40295,                0.95897,                0.85315,                0.79646,                 0.8468,                0.65189,                0.83593,                0.70956,                 1.3004,             4.9677e-05,             4.9677e-05,             4.9677e-05
